kepid,kepoi_name,ra,dec,koi_period,koi_prad,koi_disposition_pred
10747501,K04891.01,297.48297,48.022499,4.7309013,1.39,CONFIRMED
10586744,K04892.01,285.70697,47.869968,21.3761817,1.08,CONFIRMED
11970050,K04893.01,295.08194,50.344601,6.58753699,1.51,CONFIRMED
5308296,K04750.01,299.49188,40.472481,36.721576,1.93,FALSE POSITIVE
3122872,K03203.01,292.89218,38.270512,96.81647,3.19,CONFIRMED
9702945,K04822.01,288.50702,46.406712,3.51413723,0.69,FALSE POSITIVE
11401253,K04823.01,290.99005,49.233131,4.96504981,1.51,CONFIRMED
10549902,K04826.01,297.21347,47.775429,1.141148847,1.67,CONFIRMED
12416597,K04895.01,295.51495,51.203739,12.460565,1.1,CONFIRMED
11135694,K04896.01,290.90042,48.74614,19.5945772,1.18,FALSE POSITIVE
10065053,K04898.01,287.34897,47.060982,409.87844,2.72,FALSE POSITIVE
10291589,K04754.01,297.90527,47.33683,7.08757462,1.28,CONFIRMED
10118266,K04755.01,280.66519,47.114059,3.74318005,1.75,CONFIRMED
5695615,K04756.01,288.61057,40.92474,5.4169303,8.17,FALSE POSITIVE
5651846,K04827.01,299.46869,40.82999,31.1920226,1.65,CONFIRMED
12401132,K04829.01,287.70197,51.229729,7.630545,2.26,FALSE POSITIVE
6424561,K04900.01,284.57806,41.890259,6.6716723,1.27,CONFIRMED
10000162,K04902.01,286.33545,46.917831,409.38645,1.78,FALSE POSITIVE
7949593,K04759.01,287.77301,43.73391,17.7662938,1.54,CONFIRMED
7098255,K04762.01,284.61008,42.687431,11.56722589,1.29,CONFIRMED
4670361,K07700.01,295.73697,39.740452,631.56889,3.13,FALSE POSITIVE
10584140,K04833.01,284.31693,47.887112,4.31724247,1.01,FALSE POSITIVE
8233326,K04834.01,291.79465,44.193531,3.74099144,1.85,FALSE POSITIVE
4940203,K07711.01,295.98404,40.043621,302.779824,1.31,FALSE POSITIVE
